station	valid	tmpf	dwpf	relh	drct	sknt	p01i	alti	mslp	vsby	gust	skyc1	skyc2	skyc3	skyc4	skyl1	skyl2	skyl3	skyl4	wxcodes	ice_accretion_1hr	ice_accretion_3hr	ice_accretion_6hr	peak_wind_gust	peak_wind_drct	peak_wind_time	feel	metar	snowdepth
JRB	2019-01-01 00:56	44.10	43.00	95.88	90.00	7.00	0.18	30.08	1018.50	6.00	null	OVC	null	null	null	700.00	null	null	null	-RA BR	null	null	null	null	null	null	39.53	KJRB 010056Z AUTO 09007KT 050V130 6SM -RA BR OVC007 07/06 A3008 RMK AO2 SLP185 P0018 T00670061	null
JRB	2019-01-01 01:56	45.00	44.10	96.63	50.00	8.00	0.15	30.02	1016.70	3.00	null	OVC	null	null	null	700.00	null	null	null	RA BR	null	null	null	null	null	null	40.13	KJRB 010156Z AUTO 05008KT 3SM RA BR OVC007 07/07 A3002 RMK AO2 SLP167 P0015 T00720067	null
JRB	2019-01-01 02:56	45.00	44.10	96.63	40.00	10.00	0.17	29.94	1013.90	8.00	null	OVC	null	null	null	700.00	null	null	null	-RA	null	null	null	null	null	null	39.27	KJRB 010256Z AUTO 04010KT 8SM -RA OVC007 07/07 A2994 RMK AO2 SLP139 P0017 60050 T00720067 58066	null
JRB	2019-01-01 03:56	46.00	45.00	96.28	40.00	7.00	0.11	29.88	1011.90	9.00	15.00	OVC	null	null	null	700.00	null	null	null	-RA	null	null	null	null	null	null	41.84	KJRB 010356Z AUTO 04007G15KT 9SM -RA OVC007 08/07 A2988 RMK AO2 SLP119 P0011 T00780072	null
JRB	2019-01-01 04:56	48.90	48.00	96.69	null	3.00	0.15	29.80	1009.20	7.00	null	OVC	null	null	null	500.00	null	null	null	-RA	null	null	null	null	null	null	48.01	KJRB 010456Z AUTO VRB03KT 7SM -RA OVC005 09/09 A2980 RMK AO2 PRESFR SLP092 P0015 T00940089 400940033	null
JRB	2019-01-01 05:56	50.00	48.90	95.98	270.00	4.00	0.03	29.76	1007.60	10.00	null	OVC	null	null	null	500.00	null	null	null	-RA	null	null	null	null	null	null	48.44	KJRB 010556Z AUTO 27004KT 10SM -RA OVC005 10/09 A2976 RMK AO2 SLP076 P0003 60079 T01000094 10100 20067 56062	null
JRB	2019-01-01 06:56	50.00	48.90	95.98	260.00	5.00	0.03	29.69	1005.40	9.00	null	OVC	null	null	null	500.00	null	null	null	-RA	null	null	null	null	null	null	47.77	KJRB 010656Z AUTO 26005KT 9SM -RA OVC005 10/09 A2969 RMK AO2 PRESFR SLP054 P0003 T01000094	null
JRB	2019-01-01 07:56	51.10	51.10	100.00	280.00	8.00	null	29.65	1004.00	6.00	null	OVC	null	null	null	300.00	null	null	null	BR	null	null	null	null	null	null	51.10	KJRB 010756Z AUTO 28008KT 6SM BR OVC003 11/11 A2965 RMK AO2 RAE07 SLP040 P0000 T01060106	null
JRB	2019-01-01 08:56	50.00	48.90	95.98	270.00	12.00	0.00	29.63	1003.50	3.00	15.00	OVC	null	null	null	300.00	null	null	null	BR	null	null	null	null	null	null	44.91	KJRB 010856Z AUTO 27012G15KT 3SM BR OVC003 10/09 A2963 RMK AO2 SLP035 60003 T01000094 56042	null
JRB	2019-01-01 09:56	53.10	52.00	96.03	270.00	11.00	0.00	29.61	1002.60	10.00	null	OVC	null	null	null	500.00	null	null	null	null	null	null	null	null	null	null	53.10	KJRB 010956Z AUTO 27011KT 10SM OVC005 12/11 A2961 RMK AO2 CIG 004V009 SLP026 T01170111	null
JRB	2019-01-01 10:56	54.00	53.10	96.76	270.00	15.00	0.00	29.63	1003.50	10.00	22.00	OVC	null	null	null	1500.00	null	null	null	null	null	null	null	null	null	null	54.00	KJRB 011056Z AUTO 27015G22KT 10SM OVC015 12/12 A2963 RMK AO2 SLP035 T01220117	null
JRB	2019-01-01 11:56	55.00	53.10	93.29	270.00	16.00	0.00	29.64	1003.50	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	55.00	KJRB 011156Z AUTO 27016KT 10SM CLR 13/12 A2964 RMK AO2 SLP035 60003 70099 T01280117 10128 20094 53001	null
JRB	2019-01-01 12:56	55.00	52.00	89.59	270.00	11.00	0.00	29.67	1004.50	10.00	null	FEW	null	null	null	6500.00	null	null	null	null	null	null	null	null	null	null	55.00	KJRB 011256Z AUTO 27011KT 10SM FEW065 13/11 A2967 RMK AO2 SLP045 T01280111	null
JRB	2019-01-01 13:56	57.00	52.00	83.33	270.00	14.00	0.00	29.70	1005.60	10.00	21.00	OVC	null	null	null	6000.00	null	null	null	null	null	null	null	null	null	null	57.00	KJRB 011356Z AUTO 27014G21KT 10SM OVC060 14/11 A2970 RMK AO2 SLP056 T01390111	null
JRB	2019-01-01 14:56	57.00	48.90	74.27	280.00	12.00	0.00	29.74	1006.90	10.00	23.00	BKN	null	null	null	5500.00	null	null	null	null	null	null	null	27.00	280.00	2019-01-01 14:26	57.00	KJRB 011456Z AUTO 28012G23KT 250V330 10SM BKN055 14/09 A2974 RMK AO2 PK WND 28027/1426 SLP069 T01390094 53034	null
JRB	2019-01-01 15:56	57.00	46.00	66.59	290.00	9.00	0.02	29.77	1008.20	10.00	26.00	BKN	null	null	null	4700.00	null	null	null	null	null	null	null	36.00	300.00	2019-01-01 15:21	57.00	KJRB 011556Z AUTO 29009G26KT 260V340 10SM BKN047 14/08 A2977 RMK AO2 PK WND 30036/1521 SLP082 P0002 T01390078	null
JRB	2019-01-01 16:56	57.00	39.00	50.88	330.00	7.00	0.00	29.80	1009.00	10.00	null	SCT	null	null	null	4800.00	null	null	null	null	null	null	null	39.00	290.00	2019-01-01 16:27	57.00	KJRB 011656Z AUTO 33007KT 260V020 10SM SCT048 14/04 A2980 RMK AO2 PK WND 29039/1627 SLP090 T01390039	null
JRB	2019-01-01 17:56	57.00	37.00	47.04	280.00	6.00	0.02	29.82	1009.60	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	38.00	290.00	2019-01-01 17:28	57.00	KJRB 011756Z AUTO 28006KT 10SM CLR 14/03 A2982 RMK AO2 PK WND 29038/1728 SLP096 P0002 60004 T01390028 10139 20128 51027	null
JRB	2019-01-01 18:56	57.00	37.00	47.04	300.00	7.00	0.00	29.87	1011.30	10.00	15.00	FEW	null	null	null	4800.00	null	null	null	null	null	null	null	38.00	290.00	2019-01-01 18:00	57.00	KJRB 011856Z AUTO 30007G15KT 10SM FEW048 14/03 A2987 RMK AO2 PK WND 29038/1800 SLP113 T01390028	null
JRB	2019-01-01 19:56	52.00	35.10	52.36	300.00	7.00	0.00	29.95	1014.10	10.00	34.00	OVC	null	null	null	4400.00	null	null	null	null	null	null	null	37.00	290.00	2019-01-01 18:59	52.00	KJRB 011956Z AUTO 30007G34KT 160V010 10SM OVC044 11/02 A2995 RMK AO2 PK WND 29037/1859 PRESRR SLP141 T01110017	null
JRB	2019-01-01 20:56	48.90	33.10	54.24	null	5.00	0.00	30.00	1015.70	10.00	null	OVC	null	null	null	4400.00	null	null	null	null	null	null	null	36.00	290.00	2019-01-01 20:21	46.47	KJRB 012056Z AUTO VRB05KT 10SM OVC044 09/01 A3000 RMK AO2 PK WND 29036/2021 SLP157 T00940006 51061	null
JRB	2019-01-01 21:56	46.90	32.00	55.94	null	4.00	0.01	30.03	1016.90	10.00	null	FEW	null	null	null	4300.00	null	null	null	null	null	null	null	35.00	320.00	2019-01-01 21:11	44.82	KJRB 012156Z AUTO VRB04KT 10SM FEW043 08/00 A3003 RMK AO2 PK WND 32035/2111 SLP169 P0001 T00830000	null
JRB	2019-01-01 22:56	46.00	32.00	57.87	null	4.00	0.00	30.07	1018.20	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	43.77	KJRB 012256Z AUTO VRB04KT 10SM CLR 08/00 A3007 RMK AO2 SLP182 T00780000	null
JRB	2019-01-01 23:56	45.00	32.00	60.11	null	3.00	0.00	30.10	1019.20	10.00	null	SCT	null	null	null	4200.00	null	null	null	null	null	null	null	null	null	null	43.55	KJRB 012356Z AUTO VRB03KT 10SM SCT042 07/00 A3010 RMK AO2 SLP192 60001 T00720000 10144 20072 51035	null
JRB	2019-01-02 00:56	45.00	32.00	60.11	0.00	0.00	0.00	30.12	1020.10	10.00	null	BKN	null	null	null	4400.00	null	null	null	null	null	null	null	null	null	null	45.00	KJRB 020056Z AUTO 00000KT 10SM BKN044 07/00 A3012 RMK AO2 SLP201 T00720000	null
JRB	2019-01-02 01:56	44.10	30.00	57.37	null	3.00	0.00	30.14	1020.70	10.00	null	SCT	null	null	null	4800.00	null	null	null	null	null	null	null	null	null	null	42.52	KJRB 020156Z AUTO VRB03KT 10SM SCT048 07/M01 A3014 RMK AO2 SLP207 T00671011	null
JRB	2019-01-02 02:56	44.10	28.90	54.85	0.00	0.00	0.00	30.15	1020.80	10.00	null	OVC	null	null	null	4400.00	null	null	null	null	null	null	null	null	null	null	44.10	KJRB 020256Z AUTO 00000KT 10SM OVC044 07/M02 A3015 RMK AO2 SLP208 T00671017 51016	null
JRB	2019-01-02 03:56	43.00	26.10	50.98	320.00	3.00	0.00	30.16	1021.10	10.00	null	FEW	null	null	null	4400.00	null	null	null	null	null	null	null	null	null	null	41.26	KJRB 020356Z AUTO 32003KT 10SM FEW044 06/M03 A3016 RMK AO2 SLP211 T00611033	null
JRB	2019-01-02 04:56	41.00	25.00	52.61	null	3.00	0.00	30.19	1022.10	10.00	null	FEW	null	null	null	4800.00	null	null	null	null	null	null	null	null	null	null	38.98	KJRB 020456Z AUTO VRB03KT 10SM FEW048 05/M04 A3019 RMK AO2 SLP221 T00501039 401440050	null
JRB	2019-01-02 05:56	39.90	25.00	54.90	null	4.00	0.00	30.20	1022.60	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	36.65	KJRB 020556Z AUTO VRB04KT 10SM CLR 04/M04 A3020 RMK AO2 SLP226 T00441039 10072 20044 53018	null
JRB	2019-01-02 06:56	39.90	25.00	54.90	270.00	5.00	0.00	30.23	1023.60	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	35.78	KJRB 020656Z AUTO 27005KT 10SM CLR 04/M04 A3023 RMK AO2 SLP236 T00441039	null
JRB	2019-01-02 07:56	39.00	26.10	59.52	null	3.00	0.00	30.25	1024.40	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	36.69	KJRB 020756Z AUTO VRB03KT 10SM CLR 04/M03 A3025 RMK AO2 SLP244 T00391033	null
JRB	2019-01-02 08:56	37.90	25.00	59.36	0.00	0.00	0.00	30.26	1024.50	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	37.90	KJRB 020856Z AUTO 00000KT 10SM CLR 03/M04 A3026 RMK AO2 SLP245 T00331039 51019	null
JRB	2019-01-02 09:56	37.90	25.00	59.36	0.00	0.00	0.00	30.26	1024.70	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	37.90	KJRB 020956Z AUTO 00000KT 10SM CLR 03/M04 A3026 RMK AO2 SLP247 T00331039	null
JRB	2019-01-02 10:56	37.90	25.00	59.36	0.00	0.00	0.00	30.29	1025.60	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	37.90	KJRB 021056Z AUTO 00000KT 10SM CLR 03/M04 A3029 RMK AO2 SLP256 T00331039	null
JRB	2019-01-02 11:56	37.00	25.00	61.50	null	4.00	0.00	30.32	1026.60	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	33.26	KJRB 021156Z AUTO VRB04KT 10SM CLR 03/M04 A3032 RMK AO2 SLP266 70005 T00281039 10050 20028 53021	null
JRB	2019-01-02 12:56	37.00	25.00	61.50	null	6.00	0.00	30.34	1027.20	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	31.55	KJRB 021256Z AUTO VRB06KT 10SM CLR 03/M04 A3034 RMK AO2 SLP272 T00281039	null
JRB	2019-01-02 13:56	39.00	28.00	64.37	50.00	7.00	0.00	30.35	1027.90	10.00	null	FEW	null	null	null	7000.00	null	null	null	null	null	null	null	null	null	null	33.31	KJRB 021356Z AUTO 05007KT 10SM FEW070 04/M02 A3035 RMK AO2 SLP279 T00391022	null
JRB	2019-01-02 14:56	39.00	27.00	61.78	70.00	6.00	0.00	30.37	1028.30	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	33.96	KJRB 021456Z AUTO 07006KT 10SM CLR 04/M03 A3037 RMK AO2 SLP283 T00391028 51017	null
JRB	2019-01-02 15:56	39.00	26.10	59.52	40.00	7.00	0.00	30.36	1028.00	10.00	null	SCT	null	null	null	3500.00	null	null	null	null	null	null	null	null	null	null	33.31	KJRB 021556Z AUTO 04007KT 10SM SCT035 04/M03 A3036 RMK AO2 SLP280 T00391033	null
JRB	2019-01-02 16:56	42.10	25.00	50.42	50.00	6.00	0.00	30.34	1027.30	10.00	null	FEW	null	null	null	3700.00	null	null	null	null	null	null	null	null	null	null	37.69	KJRB 021656Z AUTO 05006KT 10SM FEW037 06/M04 A3034 RMK AO2 SLP273 T00561039	null
JRB	2019-01-02 17:56	42.10	24.10	48.56	null	3.00	0.00	30.31	1026.50	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	40.23	KJRB 021756Z AUTO VRB03KT 10SM CLR 06/M04 A3031 RMK AO2 SLP265 T00561044 10061 20028 58018	null
JRB	2019-01-02 18:56	41.00	24.10	50.67	260.00	5.00	0.00	30.30	1026.10	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	37.08	KJRB 021856Z AUTO 26005KT 10SM CLR 05/M04 A3030 RMK AO2 SLP261 T00501044	null
JRB	2019-01-02 19:56	39.90	27.00	59.65	240.00	6.00	0.00	30.30	1025.90	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	35.04	KJRB 021956Z AUTO 24006KT 10SM CLR 04/M03 A3030 RMK AO2 SLP259 T00441028	null
JRB	2019-01-02 20:56	39.00	26.10	59.52	180.00	7.00	0.00	30.27	1025.10	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	33.31	KJRB 022056Z AUTO 18007KT 10SM CLR 04/M03 A3027 RMK AO2 SLP251 T00391033 58014	null
JRB	2019-01-02 21:56	37.90	27.00	64.49	null	5.00	0.00	30.27	1025.10	9.00	null	SCT	null	null	null	5500.00	null	null	null	null	null	null	null	null	null	null	33.40	KJRB 022156Z AUTO VRB05KT 9SM SCT055 03/M03 A3027 RMK AO2 SLP251 T00331028	null
JRB	2019-01-02 22:56	37.90	27.00	64.49	170.00	5.00	0.00	30.26	1024.70	10.00	null	OVC	null	null	null	5500.00	null	null	null	null	null	null	null	null	null	null	33.40	KJRB 022256Z AUTO 17005KT 10SM OVC055 03/M03 A3026 RMK AO2 SLP247 T00331028	null
JRB	2019-01-02 23:56	37.90	26.10	62.14	130.00	5.00	0.00	30.26	1024.50	10.00	null	OVC	null	null	null	5000.00	null	null	null	null	null	null	null	null	null	null	33.40	KJRB 022356Z AUTO 13005KT 10SM OVC050 03/M03 A3026 RMK AO2 SLP245 T00331033 10056 20028 58006	null
JRB	2019-01-03 00:56	37.90	27.00	64.49	150.00	8.00	0.00	30.22	1023.50	10.00	null	OVC	null	null	null	5000.00	null	null	null	null	null	null	null	null	null	null	31.38	KJRB 030056Z AUTO 15008KT 120V180 10SM OVC050 03/M03 A3022 RMK AO2 SLP235 T00331028	null
JRB	2019-01-03 01:56	39.00	27.00	61.78	160.00	6.00	0.00	30.19	1022.20	10.00	null	OVC	null	null	null	5000.00	null	null	null	null	null	null	null	null	null	null	33.96	KJRB 030156Z AUTO 16006KT 10SM OVC050 04/M03 A3019 RMK AO2 SLP222 T00391028	null
JRB	2019-01-03 02:56	39.90	28.90	64.49	null	6.00	0.00	30.16	1021.20	10.00	null	OVC	null	null	null	4600.00	null	null	null	null	null	null	null	null	null	null	35.04	KJRB 030256Z AUTO VRB06KT 10SM OVC046 04/M02 A3016 RMK AO2 SLP212 T00441017 56033	null
JRB	2019-01-03 03:56	39.90	30.00	67.45	180.00	7.00	0.00	30.13	1020.20	10.00	null	OVC	null	null	null	4400.00	null	null	null	null	null	null	null	null	null	null	34.41	KJRB 030356Z AUTO 18007KT 10SM OVC044 04/M01 A3013 RMK AO2 SLP202 T00441011	null
JRB	2019-01-03 04:56	41.00	32.00	70.08	160.00	4.00	0.00	30.10	1019.30	10.00	null	BKN	OVC	null	null	2800.00	4200.00	null	null	null	null	null	null	null	null	null	37.93	KJRB 030456Z AUTO 16004KT 10SM BKN028 OVC042 05/00 A3010 RMK AO2 SLP193 T00500000 400610028	null
JRB	2019-01-03 05:56	41.00	34.00	75.94	160.00	6.00	0.00	30.08	1018.40	10.00	null	BKN	OVC	null	null	2400.00	3600.00	null	null	null	null	null	null	null	null	null	36.37	KJRB 030556Z AUTO 16006KT 10SM BKN024 OVC036 05/01 A3008 RMK AO2 SLP184 T00500011 10050 20033 56028	null
JRB	2019-01-03 06:56	41.00	35.10	79.34	null	4.00	0.00	30.04	1017.10	10.00	null	FEW	OVC	null	null	2500.00	3700.00	null	null	null	null	null	null	null	null	null	37.93	KJRB 030656Z AUTO VRB04KT 10SM FEW025 OVC037 05/02 A3004 RMK AO2 SLP171 T00500017	null
JRB	2019-01-03 07:56	42.10	36.00	78.80	100.00	3.00	0.00	29.98	1015.30	10.00	null	OVC	null	null	null	2900.00	null	null	null	null	null	null	null	null	null	null	40.23	KJRB 030756Z AUTO 10003KT 10SM OVC029 06/02 A2998 RMK AO2 SLP153 T00560022	null
JRB	2019-01-03 08:56	42.10	36.00	78.80	150.00	4.00	0.00	29.92	1013.30	10.00	null	OVC	null	null	null	3700.00	null	null	null	null	null	null	null	null	null	null	39.21	KJRB 030856Z AUTO 15004KT 10SM OVC037 06/02 A2992 RMK AO2 SLP133 T00560022 58051	null
JRB	2019-01-03 09:56	43.00	37.00	79.19	0.00	0.00	0.00	29.90	1012.50	10.00	null	OVC	null	null	null	2900.00	null	null	null	null	null	null	null	null	null	null	43.00	KJRB 030956Z AUTO 00000KT 10SM OVC029 06/03 A2990 RMK AO2 SLP125 T00610028	null
JRB	2019-01-03 10:56	44.10	37.90	78.66	260.00	4.00	0.00	29.90	1012.30	10.00	null	OVC	null	null	null	2000.00	null	null	null	null	null	null	null	null	null	null	41.55	KJRB 031056Z AUTO 26004KT 10SM OVC020 07/03 A2990 RMK AO2 SLP123 T00670033	null
JRB	2019-01-03 11:56	44.10	39.00	82.12	270.00	7.00	0.00	29.89	1012.10	10.00	null	OVC	null	null	null	2000.00	null	null	null	null	null	null	null	null	null	null	39.53	KJRB 031156Z AUTO 27007KT 10SM OVC020 07/04 A2989 RMK AO2 SLP121 T00670039 10067 20050 56012	null
JRB	2019-01-03 12:56	43.00	37.90	82.04	270.00	11.00	0.00	29.90	1012.40	10.00	18.00	BKN	null	null	null	2200.00	null	null	null	null	null	null	null	null	null	null	36.37	KJRB 031256Z AUTO 27011G18KT 10SM BKN022 06/03 A2990 RMK AO2 SLP124 T00610033	null
JRB	2019-01-03 13:56	43.00	37.90	82.04	270.00	7.00	0.00	29.92	1013.00	10.00	null	BKN	null	null	null	1800.00	null	null	null	null	null	null	null	null	null	null	38.19	KJRB 031356Z AUTO 27007KT 10SM BKN018 06/03 A2992 RMK AO2 SLP130 T00610033	null
JRB	2019-01-03 14:56	43.00	37.00	79.19	null	5.00	0.00	29.94	1013.80	10.00	null	FEW	SCT	null	null	1800.00	3200.00	null	null	null	null	null	null	null	null	null	39.46	KJRB 031456Z AUTO VRB05KT 10SM FEW018 SCT032 06/03 A2994 RMK AO2 SLP138 T00610028 53017	null
JRB	2019-01-03 15:56	45.00	35.10	68.05	null	6.00	0.00	29.93	1013.40	10.00	null	FEW	null	null	null	2900.00	null	null	null	null	null	null	null	null	null	null	41.19	KJRB 031556Z AUTO VRB06KT 10SM FEW029 07/02 A2993 RMK AO2 SLP134 T00720017	null
JRB	2019-01-03 16:56	44.10	32.00	62.21	340.00	7.00	0.00	29.93	1013.30	10.00	null	BKN	null	null	null	3300.00	null	null	null	null	null	null	null	null	null	null	39.53	KJRB 031656Z AUTO 34007KT 260V360 10SM BKN033 07/00 A2993 RMK AO2 SLP133 T00670000	null
JRB	2019-01-03 17:56	45.00	28.90	53.00	null	3.00	0.00	29.93	1013.50	10.00	null	BKN	null	null	null	4700.00	null	null	null	null	null	null	null	null	null	null	43.55	KJRB 031756Z AUTO VRB03KT 10SM BKN047 07/M02 A2993 RMK AO2 SLP135 T00721017 10072 20061 55003	null
JRB	2019-01-03 18:56	46.00	26.10	45.47	null	3.00	0.00	29.94	1013.70	10.00	null	FEW	null	null	null	4500.00	null	null	null	null	null	null	null	null	null	null	44.69	KJRB 031856Z AUTO VRB03KT 10SM FEW045 08/M03 A2994 RMK AO2 SLP137 T00781033	null
JRB	2019-01-03 19:56	45.00	27.00	49.02	180.00	7.00	0.00	29.96	1014.60	10.00	null	FEW	null	null	null	4500.00	null	null	null	null	null	null	null	null	null	null	40.63	KJRB 031956Z AUTO 18007KT 140V210 10SM FEW045 07/M03 A2996 RMK AO2 SLP146 T00721028	null
JRB	2019-01-03 20:56	43.00	27.00	52.91	null	3.00	0.00	29.97	1014.80	10.00	null	BKN	null	null	null	4300.00	null	null	null	null	null	null	null	null	null	null	41.26	KJRB 032056Z AUTO VRB03KT 10SM BKN043 06/M03 A2997 RMK AO2 SLP148 T00611028 53012	null
JRB	2019-01-03 21:56	42.10	27.00	54.78	240.00	5.00	0.00	29.99	1015.50	10.00	null	OVC	null	null	null	4100.00	null	null	null	null	null	null	null	null	null	null	38.39	KJRB 032156Z AUTO 24005KT 10SM OVC041 06/M03 A2999 RMK AO2 SLP155 T00561028	null
JRB	2019-01-03 22:56	41.00	27.00	57.15	null	4.00	0.00	30.01	1016.20	10.00	null	BKN	null	null	null	4300.00	null	null	null	null	null	null	null	40.00	290.00	2019-01-03 22:40	37.93	KJRB 032256Z AUTO VRB04KT 10SM BKN043 05/M03 A3001 RMK AO2 PK WND 29040/2240 SLP162 T00501028	null
JRB	2019-01-03 23:56	39.90	26.10	57.47	null	5.00	0.00	30.04	1017.10	10.00	null	BKN	null	null	null	4500.00	null	null	null	null	null	null	null	41.00	280.00	2019-01-03 23:30	35.78	KJRB 032356Z AUTO VRB05KT 10SM BKN045 04/M03 A3004 RMK AO2 PK WND 28041/2330 SLP171 T00441033 10078 20044 53023	null
JRB	2019-01-04 00:56	39.90	26.10	57.47	null	3.00	0.00	30.04	1017.10	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	37.72	KJRB 040056Z AUTO VRB03KT 10SM CLR 04/M03 A3004 RMK AO2 SLP171 T00441033	null
JRB	2019-01-04 01:56	39.90	26.10	57.47	null	4.00	0.00	30.04	1017.20	10.00	null	BKN	null	null	null	4700.00	null	null	null	null	null	null	null	null	null	null	36.65	KJRB 040156Z AUTO VRB04KT 10SM BKN047 04/M03 A3004 RMK AO2 SLP172 T00441033	null
JRB	2019-01-04 02:56	39.00	27.00	61.78	240.00	4.00	0.00	30.04	1017.10	10.00	null	OVC	null	null	null	4700.00	null	null	null	null	null	null	null	null	null	null	35.59	KJRB 040256Z AUTO 24004KT 10SM OVC047 04/M03 A3004 RMK AO2 SLP171 T00391028 50000	null
JRB	2019-01-04 03:56	39.00	28.00	64.37	260.00	7.00	0.00	30.03	1017.00	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	33.31	KJRB 040356Z AUTO 26007KT 10SM CLR 04/M02 A3003 RMK AO2 SLP170 T00391022	null
JRB	2019-01-04 04:56	37.90	28.00	67.20	270.00	5.00	0.00	30.02	1016.50	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	33.40	KJRB 040456Z AUTO 27005KT 10SM CLR 03/M02 A3002 RMK AO2 SLP165 T00331022 400780033	null
JRB	2019-01-04 05:56	37.00	28.00	69.63	270.00	7.00	0.00	30.04	1017.10	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	30.87	KJRB 040556Z AUTO 27007KT 10SM CLR 03/M02 A3004 RMK AO2 SLP171 T00281022 10044 20028 53000	null
JRB	2019-01-04 06:56	36.00	28.00	72.43	270.00	6.00	0.01	30.04	1017.30	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	32.00	290.00	2019-01-04 06:19	30.35	KJRB 040656Z AUTO 27006KT 10SM CLR 02/M02 A3004 RMK AO2 PK WND 29032/0619 SLP173 P0001 T00221022 FZRANO	null
JRB	2019-01-04 07:56	36.00	27.00	69.51	260.00	6.00	0.00	30.04	1017.20	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	30.35	KJRB 040756Z AUTO 26006KT 10SM CLR 02/M03 A3004 RMK AO2 SLP172 T00221028 FZRANO	null
JRB	2019-01-04 08:56	36.00	27.00	69.51	270.00	6.00	0.00	30.03	1016.80	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	30.35	KJRB 040856Z AUTO 27006KT 10SM CLR 02/M03 A3003 RMK AO2 SLP168 60001 T00221028 58003 FZRANO	null
JRB	2019-01-04 09:56	36.00	28.90	75.15	270.00	6.00	0.00	30.02	1016.50	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	30.35	KJRB 040956Z AUTO 27006KT 10SM CLR 02/M02 A3002 RMK AO2 SLP165 T00221017 FZRANO	null
JRB	2019-01-04 10:56	36.00	28.90	75.15	260.00	7.00	0.00	30.02	1016.50	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	29.65	KJRB 041056Z AUTO 26007KT 10SM CLR 02/M02 A3002 RMK AO2 SLP165 T00221017 FZRANO	null
JRB	2019-01-04 11:56	36.00	28.90	75.15	270.00	7.00	0.00	30.03	1016.80	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	29.65	KJRB 041156Z AUTO 27007KT 10SM CLR 02/M02 A3003 RMK AO2 SLP168 60001 70001 T00221017 10028 20017 55000 FZRANO	null
JRB	2019-01-04 12:56	36.00	28.90	75.15	240.00	7.00	0.00	30.03	1016.90	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	29.65	KJRB 041256Z AUTO 24007KT 10SM CLR 02/M02 A3003 RMK AO2 SLP169 T00221017 FZRANO	null
JRB	2019-01-04 13:56	37.00	28.90	72.24	260.00	7.00	0.00	30.03	1016.70	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	30.87	KJRB 041356Z AUTO 26007KT 10SM CLR 03/M02 A3003 RMK AO2 SLP167 T00281017	null
JRB	2019-01-04 14:56	37.90	30.00	72.93	230.00	9.00	0.00	30.03	1016.90	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	30.85	KJRB 041456Z AUTO 23009KT 10SM CLR 03/M01 A3003 RMK AO2 SLP169 T00331011 52001	null
JRB	2019-01-04 15:56	41.00	30.90	67.03	240.00	9.00	0.00	30.02	1016.60	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	34.70	KJRB 041556Z AUTO 24009KT 10SM CLR 05/M01 A3002 RMK AO2 SLP166 T00501006	null
JRB	2019-01-04 16:56	43.00	30.90	62.06	260.00	10.00	0.00	29.96	1014.50	10.00	null	CLR	null	null	null	null	null	null	null	null	null	null	null	null	null	null	36.76	KJRB 041656Z AUTO 26010KT 10SM CLR 06/M01 A2996 RMK AO2 SLP145 T00611006	null
